id,finishingType,readyToMove,IsCompound,npv,npvPerMeter,totalPrice,pricePerMeter,deliveryMonth,deliveryYear,IsPrimarySale,hasRealEstateFinancing,unitType,bua,bedrooms,bathrooms,land,garage,city.nameEnglish,district.nameEnglish,region.nameEnglish,compound.nameEnglish,developer.nameEnglish,financialPlan.downPayment,financialPlan.numberOfYears,financialPlan.monthlyPayment
6140f16601328387fa3845fa,ff,1,1,6250000,21186,6250000,21186,5,2021,0,0,duplex,295,3,3,295,1,Giza,6th October City,Greater Cairo,District One,sakneen temp,6250000,0,0
615c81237a8f276abcd8b32d,ff,1,1,5000000,22422,5000000,22422,10,2021,0,0,apartment,223,3,3,223,1,Giza,6th October City,Greater Cairo,Carnell Park,,5000000,0,0
601820ca520b210011f7eaff,ff,1,0,4500000,22959,4500000,22959,1,2020,0,0,apartment,196,3,2,196,0,Cairo,Zamalek,Greater Cairo,,,4500000,0,0
603521024aefbb0011e42d29,ff,1,0,3850000,30556,3850000,30556,1,2020,0,0,apartment,126,2,1,126,0,Cairo,Maadi,Greater Cairo,,,3850000,0,0
60758126e2455200128c8f6f,ff,1,1,2500000,15625,2500000,15625,12,2020,0,0,penthouse,160,1,2,320,1,Giza,6th October City,Greater Cairo,joud compound,,2500000,0,0
613e04f0dc6dbdfee887a150,ff,1,1,10300000,32188,10300000,32188,1,2021,0,0,twin house,320,4,4,340,1,Cairo,New Cairo,Greater Cairo,Mivida,Emaar Misr,10300000,0,0
603651748cc1b7001120265a,ff,1,1,4600000,21296,4600000,21296,1,2020,0,0,apartment,216,3,3,216,1,Giza,6th October City,Greater Cairo,Jasperhill,,4600000,0,0
61c86248a94cf2ddceec30a4,ff,1,1,3550000,16136,3550000,16136,12,2021,0,0,apartment,220,3,3,0,0,Cairo,New Cairo,Greater Cairo,Rehab City Sixth Phase,talaat moustafa group,3550000,0,0
6171a30ffdee9793b05cb593,ff,1,0,5800000,26364,5800000,26364,1,2021,0,0,apartment,220,3,3,220,0,Cairo,Zamalek,Greater Cairo,,,5800000,0,0
602a948aa27172001152a2d8,ff,1,0,7000000,35000,7000000,35000,1,2020,0,0,apartment,200,3,3,200,0,Cairo,Zamalek,Greater Cairo,,,7000000,0,0
602a90b8c9f49600115ae26a,ff,0,1,6700000,18611,6700000,18611,1,2020,0,0,villa,360,4,3,520,1,Giza,6th October City,Greater Cairo,al worood,,6700000,0,0
6155ae2a929dd580918463c2,cs,1,1,3200000,20000,3200000,20000,2,2021,0,1,apartment,160,2,2,300,1,Cairo,New Cairo,Greater Cairo,Eastown,Sodic,3200000,0,0
619f7c0516a2283c8389b922,ff,1,1,9750000,18750,9750000,18750,11,2021,0,0,villa,520,4,5,510,1,Giza,6th October City,Greater Cairo,Golf Al Solimania,,9750000,0,0
