,id,finishingType,readyToMove,IsCompound,npv,npvPerMeter,totalPrice,pricePerMeter,deliveryMonth,deliveryYear,IsPrimarySale,hasRealEstateFinancing,unitType,bua,bedrooms,bathrooms,land,garage,city.nameEnglish,district.nameEnglish,region.nameEnglish,compound.nameEnglish,developer.nameEnglish,financialPlan.downPayment,financialPlan.numberOfYears,financialPlan.monthlyPayment,Calculated Price
771,61efe6a7e8c44787366566a7,1,1,0,800000,800000,800000,800000,1,2021,0,0,0,1,3,1,1,0,0,7,Greater Cairo,,,800000,0,0,1350000
721,61eff06cec1836507dc95202,1,1,1,2500000,2500000,2500000,2500000,1,2021,0,0,6,1,5,4,1,1,4,1,Red Sea,Porto Sokhna,,2500000,0,0,2500000
276,61efed4eec1836507dc951aa,1,1,0,30000000,30000000,30000000,30000000,1,2021,0,0,0,1,3,3,1,1,0,23,Greater Cairo,,,30000000,0,0,4500000
895,61efee23ec1836507dc951b3,1,1,0,3100000,3100000,3100000,3100000,1,2021,0,0,0,1,4,2,1,1,1,10,Greater Cairo,,,3100000,0,0,2500000
255,61939fcb50988ed12f6b348f,1,1,1,1500000,37500,1500000,37500,1,2021,0,0,5,40,1,1,40,1,2,4,Red Sea,G Cribs,,1500000,0,0,1850000
900,6187bcadceeafa6dccba6ba2,1,1,1,600000,12766,600000,12766,11,2021,0,0,1,47,1,1,47,0,3,2,Matrouh,Golf Porto Marina,,600000,0,0,1000000
646,61a8d7250ef7eff1c7f109aa,1,1,1,570000,12128,570000,12128,12,2021,0,0,1,47,1,1,47,0,3,2,Matrouh,Golf Porto Marina,,570000,0,0,1000000
298,61b223435f118d9163d298ae,1,1,1,550000,11702,550000,11702,12,2021,0,0,5,47,1,1,47,0,3,2,Matrouh,Golf Porto Marina,,550000,0,0,1000000
485,61b08318b34ca05f7abb102e,1,1,1,650000,13830,650000,13830,12,2021,0,0,1,47,1,1,47,0,3,2,Matrouh,Golf Porto Marina,,650000,0,0,1000000
824,61b0c4423582111f9e8bf3da,1,1,1,600000,12766,600000,12766,12,2021,0,0,5,47,1,1,47,0,3,2,Matrouh,Golf Porto Marina,,600000,0,0,1000000
102,616d51d6cc2d391fa6a8f2f6,0,1,1,2500000,50000,2500000,50000,10,2021,0,0,4,50,3,3,166,0,0,14,Greater Cairo,Mountain View Hyde Park,Mountain View,2500000,0,0,2500000
239,618babf550ac7c17e1debc65,1,1,1,750000,15000,750000,15000,11,2021,0,0,1,50,1,1,70,0,4,1,Red Sea,Porto South Beach,,750000,0,0,1000000
479,61967289ddc2f0889245ab2c,1,1,0,1000000,15385,1000000,15385,1,2021,0,0,5,65,1,1,65,1,0,9,Greater Cairo,,,1000000,0,0,1000000
988,61cdbbd861795c05c0bff276,1,1,1,1050000,14000,1050000,14000,12,2021,0,0,1,75,2,1,75,0,4,1,Red Sea,Piacera,,1050000,0,0,1000000
198,61e6b2a0071bfe518fdc41a8,1,1,1,1850000,23418,1850000,23418,1,2021,0,0,1,79,2,2,79,0,3,2,Matrouh,Porto Marina,,1850000,0,0,2500000
755,61e04686b364ba6026d29772,1,1,1,2000000,25316,2000000,25316,1,2021,0,0,1,79,2,2,79,0,3,2,Matrouh,Porto Marina,,2000000,0,0,2500000
308,61def02d3534f823126a81c9,1,1,1,1000000,12500,1000000,12500,1,2021,0,0,1,80,2,2,160,0,3,2,Matrouh,Golf Porto Marina,,1000000,0,0,2500000
963,61a8b32cc2b2446cf34888b5,1,1,1,900000,11250,900000,11250,12,2021,0,0,1,80,2,2,80,0,3,2,Matrouh,Golf Porto Marina,,900000,0,0,2500000
819,61e03fc63534f823126b0d5a,1,1,1,950000,11875,950000,11875,1,2021,0,0,1,80,2,2,80,0,3,2,Matrouh,Golf Porto Marina,,950000,0,0,2500000
945,61b74dd5deb36dd027186c1c,1,0,1,3265604,39345,9308888,112156,2,2022,1,0,0,83,1,2,83,1,3,22,Matrouh,Marassi,Emaar Misr,465444,8,92119,1850000
484,61d18cda7f3ac73df7fe226e,1,1,1,2400000,28235,2400000,28235,1,2021,0,0,1,85,2,2,85,0,3,2,Matrouh,Amwaj,Al Ahly Sabbour developments,2400000,0,0,2500000
152,6159ae79929dd58091853567,1,1,1,1750000,19886,1750000,19886,1,2021,0,1,0,88,1,1,88,1,0,14,Greater Cairo,Palm Hills Village Gate,Palm Hills,1750000,0,0,1850000
572,6141efc76372791159c69f32,1,0,1,1850000,21023,1850000,21023,6,2022,0,0,0,88,1,1,88,1,0,14,Greater Cairo,Palm Hills Village Gate,Palm Hills,1850000,0,0,1850000
65,616d594a122af94eaad4e84e,0,1,1,1650000,18750,1650000,18750,10,2021,0,0,0,88,2,2,119,0,0,14,Greater Cairo,Galleria Residence,Arabia holding,1650000,0,0,1850000
243,6198ec9dd429fbcb38a5e629,1,1,1,1350000,15169,1350000,15169,11,2021,0,0,0,89,2,2,0,1,0,14,Greater Cairo,El Rehab Extension,talaat moustafa group,1350000,0,0,1900000
693,61b209965f118d9163d203ad,1,1,1,1100000,12222,1100000,12222,12,2021,0,0,0,90,2,1,0,1,0,14,Greater Cairo,Rehab City First Phase,talaat moustafa group,1100000,0,0,1100000
972,61c8953c4b94e78d4dfdddc7,1,1,1,1100000,12222,1100000,12222,12,2021,0,0,0,90,2,1,0,1,0,14,Greater Cairo,Rehab City First Phase,talaat moustafa group,1100000,0,0,1100000
